Project Code as Word,PQ # as Word,Country as Word,Managed By as Word,Fulfill Via as Word,Vendor INCO Term as Word,Shipment Mode as Word,PQ First Sent to Client Date as Word,PQ First Sent to Client Date Value,PO Sent to Vendor Date as Word,PO Sent to Vendor Date Value,Scheduled Delivery Date Value,Delivered to Client Date Value,Delivery Recorded Date Value,Product Group as Word,Sub Classification as Word,Vendor as Word,Item Description as Word,Molecule/Test Type as Word,Brand as Word,Dosage as Word,Dosage Form as Word,Unit of Measure (Per Pack) Value,Line Item Quantity Value,Line Item Value Value,Pack Price Value,Unit Price Value,Manufacturing Site as Word,First Line Designation as Word,Weight (Kilograms) as Word,Weight (Kilograms) Value,Freight Cost (USD) as Word,Freight Cost (USD) Value,Line Item Insurance (USD) Value,PO / SO # Type as Word,PO / SO # ID Value,ASN/DN # Type as Word,ASN/DN # ID Value,IsDefective
13,1,10,1,1,5,1,1,-1,1,-1,1238371200,1232496000,1232496000,2,3,22,67,2,22,4,3,60,260,4035.2,15.52,0.26,42,2,1,-1.0,1,-1.0,7.91,1,41190,1,3732,0
26,1,17,1,1,4,1,1,-1,-1,1237420800,1241395200,1241395200,1241395200,2,3,10,32,23,19,13,10,30,60,1100.4,18.34,0.61,11,1,-1,3000.0,-1,428.91,2.16,1,41240,1,3904,0
13,1,10,1,1,5,2,1,-1,-1,1237334400,1239926400,1239926400,1239926400,2,2,22,7,7,4,4,4,90,5000,160900.0,32.18,0.36,38,1,1,-1.0,1,-1.0,315.36,1,41450,1,4362,0
13,1,10,1,1,5,1,1,-1,-1,1238112000,1245888000,1240185600,1240185600,2,2,22,68,6,13,1,14,5,166,2265.9,13.65,2.73,22,2,1,-1.0,1,-1.0,4.44,1,41584,1,4385,0
13,1,10,1,1,5,1,1,-1,-1,1238112000,1245888000,1240185600,1240185600,2,2,22,46,12,8,23,9,60,1500,15150.0,10.1,0.17,11,2,1,-1.0,1,-1.0,29.69,1,41584,1,4385,0
7,1,6,1,1,4,1,1,-1,-1,1224547200,1240185600,1240185600,1240185600,2,3,9,12,11,2,6,6,60,7840,71344.0,9.1,0.15,10,1,-1,719.0,-1,853.88,139.83,1,30312,1,3851,0
13,1,10,1,1,5,1,1,-1,-1,1238630400,1248998400,1240185600,1240185600,2,2,22,42,8,25,19,5,300,40,1440.0,36.0,0.12,29,1,1,-1.0,1,-1.0,2.82,1,47420,1,4280,0
13,1,10,1,1,5,2,1,-1,-1,1238630400,1248998400,1241395200,1241395200,2,2,22,60,32,27,28,5,90,6,43.2,7.2,0.08,33,1,1,-1.0,1,-1.0,0.08,1,47360,1,4286,0
13,1,10,1,1,5,2,1,-1,-1,1238630400,1248998400,1244419200,1244419200,2,2,22,60,32,27,28,5,90,6,43.2,7.2,0.08,33,1,1,-1.0,1,-1.0,0.08,1,42250,1,4612,0
16,1,11,1,1,1,1,1,-1,-1,1238457600,1244160000,1244160000,1244160000,1,1,14,3,3,3,-1,1,100,425,38250.0,90.0,0.9,14,1,-1,130.0,-1,1859.79,74.97,1,42290,1,3987,0
16,1,11,1,1,1,1,1,-1,-1,1238371200,1246406400,1246406400,1246406400,1,1,14,3,3,3,-1,1,100,276,24840.0,90.0,0.9,14,1,-1,87.0,-1,1205.7,48.69,1,42320,1,4291,0
13,1,10,1,1,5,2,1,-1,-1,1238630400,1242345600,1240444800,1240444800,2,3,22,31,5,15,12,4,60,76,300.2,3.95,0.07,11,2,1,-1.0,-1,3134.85,0.59,1,47500,1,4332,0
3,1,3,1,1,2,1,1,-1,-1,1238544000,1242777600,1242777600,1242777600,2,3,6,9,8,5,5,3,120,73,3000.3,41.1,0.34,7,1,-1,69.0,-1,1332.43,5.88,1,42830,1,3984,0
22,1,15,1,1,1,1,1,-1,-1,1238803200,1245283200,1245283200,1245283200,1,1,7,10,9,6,-1,1,20,5,160.0,32.0,1.6,8,1,-1,2.0,-1,12561.4,0.31,1,42970,1,4098,0
22,1,15,1,1,1,1,1,-1,-1,1238803200,1245283200,1245283200,1245283200,1,1,7,10,9,6,-1,1,20,4995,159840.0,32.0,1.6,8,1,-1,4995.0,-1,275.0,313.29,1,42970,1,4099,0
14,1,3,1,1,2,1,1,-1,-1,1239062400,1247529600,1247529600,1247529600,2,3,6,9,8,5,5,3,120,2040,83844.0,41.1,0.34,7,1,-1,309.0,-1,3777.93,164.33,1,36892,1,4206,0
7,1,6,1,1,4,1,1,-1,-1,1239753600,1248048000,1248048000,1248048000,2,3,21,54,34,2,26,6,60,26932,317528.28,11.79,0.2,20,1,-1,3393.0,-1,30661.5,622.36,1,43880,1,4462,0
10,1,1,1,1,1,1,1,-1,-1,1239753600,1244592000,1247616000,1247616000,1,1,19,26,21,17,-1,1,40,1000,110000.0,110.0,2.75,19,1,-1,1073.0,-1,8114.11,215.6,1,44120,1,4289,0
17,1,12,1,1,1,1,1,-1,-1,1240790400,1245024000,1245024000,1245024000,1,1,14,17,15,3,-1,1,100,800,56000.0,70.0,0.7,14,1,-1,195.0,-1,2008.54,109.76,1,44960,1,4186,0
2,1,2,1,1,1,1,1,-1,-1,1240963200,1244419200,1244419200,1244419200,2,3,2,69,12,2,13,15,30,150,1950.0,13.0,0.43,2,1,-1,30.0,-1,4111.71,3.82,1,44980,1,4094,0
10,1,1,1,1,1,1,1,-1,-1,1240963200,1244505600,1244505600,1244505600,1,1,19,26,21,17,-1,1,40,140,15400.0,110.0,2.75,19,1,-1,158.0,-1,4318.21,30.18,1,45110,1,4046,0
17,1,12,1,1,1,1,1,-1,-1,1241740800,1250553600,1250553600,1250553600,2,2,9,70,38,2,29,16,60,2000,3800.0,1.9,0.03,10,1,-1,251.0,-1,1484.75,7.45,1,45620,1,4511,0
2,1,2,1,1,4,1,1,-1,-1,1243382400,1250640000,1250640000,1250640000,2,2,10,29,12,8,11,9,60,120,840.0,7.0,0.12,11,1,1,-1.0,1,-1.0,1.65,1,46560,1,4709,0
13,1,10,1,1,5,2,1,-1,-1,1244160000,1255305600,1249257600,1249257600,2,3,22,33,23,19,14,10,30,20,438.0,21.9,0.73,11,1,1,-1.0,1,-1.0,0.86,1,47051,1,4837,0
13,1,10,1,1,5,2,1,-1,-1,1244160000,1248134400,1248134400,1248134400,2,3,22,31,5,15,12,4,60,320,1475.2,4.61,0.08,11,1,1,-1.0,1,-1.0,2.89,1,47090,1,4820,0
4,1,4,1,1,1,1,1,-1,-1,1244246400,1257897600,1256774400,1256774400,1,1,14,3,3,3,-1,1,100,2000,144000.0,72.0,0.72,14,1,-1,590.0,-1,5962.58,310.46,1,42641,1,5221,0
27,1,11,1,1,4,1,1,-1,-1,1247616000,1249603200,1249603200,1249603200,2,3,32,9,8,5,5,3,120,2733,224625.27,82.19,0.68,7,1,-1,589.0,-1,314.0,440.27,1,48690,1,4600,0
10,1,1,1,1,1,1,1,-1,1,-1,1157500800,1157500800,1157500800,1,1,19,26,21,17,-1,1,40,100,7535.0,75.35,1.88,19,1,-1,107.0,-1,1845.74,-1.0,1,28,1,16,0
8,1,7,1,1,1,1,1,-1,1,-1,1160352000,1160352000,1160352000,1,1,7,25,20,16,-1,1,100,45,7875.0,175.0,1.75,25,1,-1,29.0,-1,854.34,-1.0,1,73,1,59,0
2,1,2,1,1,1,1,1,-1,1,-1,1157068800,1157068800,1157068800,2,3,18,21,18,14,8,3,30,1000,17000.0,17.0,0.57,18,1,-1,61.0,-1,7682.69,-1.0,1,80,1,49,0
2,1,2,1,1,1,1,1,-1,1,-1,1155254400,1155254400,1155254400,2,3,2,8,2,2,4,3,60,35000,152250.0,4.35,0.07,2,2,-1,7590.0,-1,45450.08,-1.0,1,81,1,55,0
